cap-diameter,stem-height,stem-width,date,cap-shape,cap-color,has-ring,ring-type,class
5.35,5.65,4.6,2020.04.01,x,g,t,l,e
6.62,5.61,7.08,2020.04.11,b,n,t,,p
4.96,4.99,6.59,2020.06.18,x,e,f,f,p
,4.17,2.62,2020.02.05,b,w,f,f,e
6.99,8.8,10.11,2020.09.04,x,e,t,z,p
5.18,3.79,12.47,2020.01.24,f,u,f,f,e
13.15,6.34,17.69,2020.06.04,s,p,f,f,e
9.41,7.43,15.0,2020.06.30,s,p,t,f,p
10.33,6.73,18.3,2020.03.04,s,w,f,f,e
11.51,9.91,33.29,2020.04.28,x,n,f,f,p
6.49,6.0,6.11,2020.10.28,f,n,t,,p
1.34,5.02,1.93,2020.11.02,x,n,f,f,e
4.8,4.49,18.56,2020.05.21,c,n,f,f,e
5.11,6.61,3.26,2020.09.15,b,n,f,f,e
7.2,7.69,15.52,2020.09.13,x,n,t,p,p
4.1,3.88,7.01,2020.01.01,s,u,f,f,p
4.08,2.97,4.12,2020.01.27,f,n,t,f,p
6.62,6.66,17.94,2020.03.31,x,e,f,f,p
8.17,7.47,14.31,2020.09.15,p,n,f,f,e
11.06,7.67,22.09,2020.05.26,x,n,f,f,e
3.56,5.99,7.45,2020.09.19,s,y,f,f,e
4.48,4.14,18.28,2020.02.05,o,n,f,f,e
8.32,8.38,8.21,2020.11.01,x,y,t,z,p
3.38,4.9,6.59,2020.10.11,x,p,f,f,e
4.14,5.55,7.14,2020.09.01,x,e,f,f,p
1.35,4.62,2.36,2020.06.09,x,n,f,f,p
8.73,11.42,12.15,2020.12.15,x,w,f,f,p
9.2,9.25,13.57,2020.03.04,f,o,f,f,e
6.32,3.28,7.22,2020.09.13,s,w,f,f,e
3.25,1.45,15.6,2020.01.01,o,r,f,f,p
4.44,6.2,7.52,2020.07.06,x,n,f,f,e
6.31,5.41,6.16,2020.10.28,x,n,t,r,e
9.73,7.4,14.62,2020.10.06,x,y,t,,e
3.26,7.39,6.86,2020.06.19,x,y,t,z,p
7.55,6.37,9.99,2020.01.09,x,n,f,f,e
7.49,4.37,11.67,2020.01.05,s,r,f,f,p
11.81,6.61,26.01,2020.12.24,x,y,t,e,e
3.01,5.16,5.89,2020.06.11,s,u,f,f,p
7.66,11.13,15.44,2020.09.02,f,r,t,p,p
8.09,9.88,14.22,2020.12.18,x,n,f,f,p
6.15,6.96,8.88,2020.05.05,s,n,f,f,p
8.22,5.54,23.47,2020.11.10,f,w,f,f,e
7.46,6.05,8.94,2020.06.07,s,e,f,f,p
2.93,3.27,14.82,2020.04.08,o,g,f,f,p
3.22,3.73,2.73,2020.05.06,b,n,f,f,e
9.23,8.3,27.53,2020.04.27,x,e,t,e,e
3.84,5.15,6.29,2020.09.05,s,g,f,f,e
1.72,4.31,1.51,2020.01.17,b,n,f,f,p
8.34,8.19,31.96,2020.06.21,x,w,f,f,e
5.51,4.48,10.79,2020.07.15,x,y,f,f,e
6.16,8.52,10.31,2020.05.02,x,e,t,z,p
15.9,17.34,17.54,2020.09.27,f,e,t,g,p
4.29,6.34,5.8,2020.10.14,b,u,f,f,p
7.86,7.72,13.65,2020.03.03,p,n,f,f,e
11.65,9.31,19.73,2020.04.17,x,n,t,l,e
5.18,5.49,13.52,2020.04.10,x,r,f,f,p
6.08,7.37,7.97,2020.05.19,c,y,f,f,p
50.46,5.6,25.56,2020.08.17,o,y,f,f,e
13.79,5.36,16.95,2020.10.07,s,p,f,f,e
2.72,6.84,2.49,2020.12.25,x,e,f,f,p
3.51,0.0,0.0,2020.10.21,o,g,t,f,p
7.8,2.2,13.15,2020.11.05,f,w,f,f,e
8.3,6.62,18.14,2020.06.08,f,n,f,f,e
2.27,6.77,2.89,2020.09.28,f,n,f,f,e
3.2,4.44,2.58,2020.06.29,f,n,f,f,p
15.35,8.77,26.28,2020.11.21,s,n,f,f,e
2.81,3.33,5.1,2020.05.19,f,o,f,f,p
2.41,5.04,2.57,2020.04.05,x,e,f,f,p
13.69,8.44,17.07,2020.04.05,x,n,t,r,e
3.49,3.85,5.72,2020.02.28,f,n,f,f,e
49.93,7.49,45.02,2020.10.17,o,y,f,f,e
5.37,4.77,14.34,2020.08.12,x,y,f,f,e
